id_anuncio,descricao,descricao_len,descricao_encontrada,descricao_candidatos_avaliados,notas_heuristica,data_coleta
56904310,"⚫️HYUNDAI HB20 2017⚪ Motor 1.0�� -Câmbio manual -151.000 km -Direção elétrica -Volante Multifuncional -Vidros/Retrovisores e travas elétricas -Interior Impecável -Som original -Ar Condicionado -4 Pneus em ótimos estados -Laudo Cautelar aprovado��✅ R$51.900,00",259,True,10,"<p> len=259 kws=['cautelar', 'impecável']; total_aprovados=1",2026-05-13T00:56:42.546298
57493395,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:56:47.597662
56852356,"Fale com a Makine Motors (19) 3299-5447 (19) 99828-0483 (19) 97411-5616 __ Laudo cautelar 100% aprovado. Documento ok. Ótimas taxas de financiamento; Aprovação de crédito imediata; A Makine Motors te convida a conhecer esse carro na nossa loja, será uma satisfação recebê-lo; Reservamo-nos o direito de possíveis erros de digitação e preços sujeitos a alteração sem prévio aviso. Valor a vista, caso troca consulte nossos vendedores",432,True,9,"<p> len=432 kws=['cautelar', 'troca', 'financia', 'vendedor', 'consulte']; total_aprovados=1",2026-05-13T00:56:54.832653
56648400,"Hatch moderno, econômico e muito confortável, ideal para quem busca praticidade e tecnologia no dia a dia. Direção leve, rodar suave e excelente desempenho urbano tornam este modelo uma ótima escolha para trabalho, estudo ou rotina na cidade, unindo eficiência, estilo e confiabilidade. Valor para pagamento à vista ou financiado. A Neri Veículos tem mais de trinta anos de tradição e oferece noventa dias de garantia de motor e câmbio. Financiamos em até 60x e parcelamos no cartão em até 24x. Texto sujeito a erros de digitação.",530,True,10,"<p> len=530 kws=['garantia', 'financia', 'parcel', 'financiamos']; total_aprovados=1",2026-05-13T00:57:02.066644
57396327,**COMPLETO/ CAMBIO AUTÔMATICO DE 6 MARCHAS / 06 AIR BAGS/ CONTORLE ESTABILIDADE DE TRAÇÃO E ASSITENTE DE PARTIDA EM RAMPA / DRL FARÓIS DE LUZ DIURNA / PILOTO AUTOMATICO E LIMITADOR DE VELOCIDADE / RADIO BLUELINK DE 8 POLEGADAS COM CONTROLES NO VOLANTE E ENTRADA USB/ RODAS DE LIGA LEVE ARO 16 /ALARME PERIMETRICO/ VODROS ELÉTRICOS TRASEIROS / RETROVISORES EXTERNOS ELÉTRICOS / CHAVE CANIVETE COM TELE COMANDO / ESPELHAMENTO SEM FIO PARA ANDROID AUTO E APPLE CARPLAY COM COMANDO DE VOZ / CAMERA E SENSOR DE RÉ / ASSENDIMENTO AUTOMATICO DE FARÓIS / FARÓIS DE NEBLINA/ LANTERNAS EM LED/GRADE FRONTAL BLACK PIANO/PAINEL DIGITAL/ CHAVE DE PRESENÇA COM PARTIDA DE MOTOR PELA CHAVE. Garantia de Fábrica.,696,True,10,"<p> len=696 kws=['garantia', 'completo']; total_aprovados=1",2026-05-13T00:57:07.378617
57503618,"🚗 HB20 C.Style/C.Plus 1.6 Flex Automático 2014 🚗 ✨ Branco | 119 mil km | Completo | Automático ✔️ Manual e chave reserva ✔️ Revisado ✔️ Garantia de motor e câmbio ✔️ Conforto, economia e ótimo desempenho para o dia a dia! ⚠️ Esse perfil vende rápido! Não deixe para depois. 💳 Aqui na New Cars Cotia você compra fácil: ✔️ Aceitamos seu veículo na troca ✔️ Entrada parcelada em até 24x no cartão ✔️ Financiamento com os principais bancos 📲 Chame no WhatsApp agora e faça sua simulação! 📍 Loja 1 – Centro – Cotia/SP 📞 (11) 96634-9589 📍 Loja 2 – Parque Bahia – Cotia/SP 📞 (11) 5192-1121 🚘 Agende seu test drive hoje mesmo! ✨ New Cars Cotia – Realizando o sonho do seu carro novo! #HB20 #HB20Automatico #Hyundai #CarrosUsados #Seminovos #HB2014 #CarroAutomatico #NewCarsCotia #CotiaSP #VeiculoRevisado",796,True,10,"<p> len=796 kws=['troca', 'garantia', 'financia', 'parcel', 'revisa', 'aceita', 'revisado', 'completo', 'test drive']; total_aprovados=1",2026-05-13T00:57:12.786489
56736509,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:20.929581
57495858,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:25.808370
56908773,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:32.618734
57267382,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:38.465124
56836626,"Preço à vista ou financiado. Para carro na troca consultar um vendedor. Nos reservamos o direito de corrigir possíveis erros de digitação neste anúncio. Confira todo o nosso estoque e entre em contato para adquirir seu carro novo. Seu sonho, nosso objetivo. Informações complementares: Licenciado",296,True,12,"<p> len=296 kws=['troca', 'financia', 'vendedor', 'contato']; total_aprovados=1",2026-05-13T00:57:45.866409
57478469,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:54.643293
57487291,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:57:59.881609
57495023,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:05.421619
57514983,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:10.602692
57487239,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:14.104469
57505133,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:18.852515
57495494,"GRUPO JET BALBEK VEÍCULOS, 30 ANOS DE TRADIÇÃO. UMA MEGA LOJA DE CARROS SEMINOVOS SELECIONADOS. SOMOS ESPECIALISTAS EM CARROS COM BAIXA QUILOMETRAGEM. OFERECEMOS A NOSSOS CLIENTES UMA ESTRUTURA COM MAIS DE 2800 METROS DE LOJA, COM OFICINA PRÓPRIA PARA MELHOR ATENDER VOCÊ. RESERVAMOS O DIREITO DE CORRIGIR POSSÍVEIS ERROS DE DIGITAÇÃO. ACESSE NOSSO SITE: www.jetbalbekseminovos.com.br SIGA NOSSO INSTAGRAM: @jetbalbekveiculos ATENDIMENTO PRESENCIAL OU ON LINE (15) 99633-8920",475,True,10,"<p> len=475 kws=['oficina', 'cliente', 'quilometragem']; total_aprovados=1",2026-05-13T00:58:23.080320
57492142,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:27.948564
57493337,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:31.931429
57493342,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:36.987841
56592004,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:41.244168
57484834,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:58:44.912890
57160024,"Banco do motorista com ajuste de altura, Encosto de cabeça traseiro, Porta-copos, Bluetooth, Câmera de Ré, Comando de Som no Volante, Volante Multifuncional, Isofix, Garantia da Loja . Somos um grupo com 5 lojas na região de Campinas e Hortolândia, reunindo a força da Unimais Veículos e da Meta Veículos, oferecendo um amplo estoque com mais de 350 veículos, selecionados com critério, variedade e procedência. Nosso compromisso é proporcionar uma experiência de compra segura, transparente e eficiente, com atendimento profissional do primeiro contato até a entrega do veículo. Aqui você encontra: - Seminovos cuidadosamente selecionados - Atendimento humanizado e especializado - Condições facilitadas de negociação - Estrutura completa para atender suas necessidades A maioria dos 350 Veículos possuem opção de garantia estendida de até 1 ano*. Consulte condições com nossos consultores. O valor anunciado não inclui produtos ou serviços adicionais. Nos reservamos o direito de corrigir eventuais erros de digitação ou publicação. Entre em contato e conheça a estrutura do Grupo Unimais & Meta Veículos.",1107,True,10,"<p> len=1107 kws=['garantia', 'contato', 'consulte']; total_aprovados=1",2026-05-13T00:58:48.318238
57160900,"CÉLIO AUTOMÓVEIS - Qualidade, Tradição e Segurança - Há mais de 31 anos comercializando veículos de procedência e qualidade! Veiculo de procedência, com cautelar aprovada, manual, chave reserva e documentação em ordem. CHAME AGORA com um de nossos especialistas pelo WhatsApp, simulamos financiamento, avaliamos carro na troca, venha para a Célio Automóveis! Nos reservamos no direito de corrigir eventuais erros no anúncio, bem como o preço em questão",452,True,10,"<p> len=452 kws=['cautelar', 'troca', 'financia']; total_aprovados=1",2026-05-13T00:58:51.665697
56905921,"Descubra o Renault Kwid 1.0 12V SCE Intense 2025, o carro que vai transformar sua experiência nas ruas. Com seu design moderno e arrojado, esse hatch compacto combina eficiência e estilo em um único veículo. O motor flex oferece potência e economia, perfeito para quem busca praticidade no dia a dia. Com um interior que prioriza o conforto e a conectividade, você estará sempre pronto para qualquer aventura. Equipado com tecnologia de ponta, como central multimídia e sistemas de segurança, o Kwid Intense é ideal para quem não abre mão do que há de melhor. Este é o carro certo para quem quer economia sem comprometer o desempenho. Não perca a chance de adquirir o seu e levar suas viagens a um novo patamar. Venha conferir!",727,True,10,"<p> len=727 kws=['único', 'perfeito']; total_aprovados=1",2026-05-13T00:58:56.437157
56785476,"BBS Veículos, há mais de 15 anos no mercado de Automóveis!! Veículos Periciados, Revisados, com total procedência e índice de satisfação dos nossos clientes!!! A BBS Veículo se reserva ao direito de possiveís erros de digitação. PROMOÇÃO IPVA 2026 PAGO VALIDO SOMENTE PARA VEICULOS VENDIDOS E COM DOCUMENTACAO FEITA NA LOJA****CONSULTE VALORES E CONDIÇÕES COM NOSSOS VENDEDORES.",378,True,10,"<p> len=378 kws=['revisa', 'cliente', 'vendedor', 'revisado', 'ipva', 'consulte']; total_aprovados=1",2026-05-13T00:59:00.395387
57491447,,0,False,8,"nenhum <p> passou (8 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:04.140523
56920954,"*SEMINOVOS COM GARANTIA DE 3 MESES: MOTOR E CÂMBIO.Traga seu usado para uma avaliação. Consulte nossos planos de financiamento, com as melhores taxas do mercado. Reservamos o direito de corrigir eventuais erros de digitação.",224,True,10,"<p> len=224 kws=['garantia', 'financia', 'consulte']; total_aprovados=1",2026-05-13T00:59:09.177194
57477543,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:15.119149
57477622,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:20.747681
57158359,,0,False,9,"nenhum <p> passou (9 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:26.363485
57397204,"* Laudo aprovado * Veículo em perfeito estado, sem detalhes * Aceitamos seu veículo como parte de pagamento * Financiamento com excelentes taxas e condições * Venha fazer parte da história da Ens Auto, oferecendo qualidade e confiança em cada negócio! * Valor anunciado válido para pagamento à vista ou financiamento (sem troca)",328,True,9,"<p> len=328 kws=['troca', 'financia', 'aceita', 'perfeito']; total_aprovados=1",2026-05-13T00:59:31.012977
57477730,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:35.797974
57477537,,0,False,7,"nenhum <p> passou (7 candidatos avaliados); primeiras rejeicoes: ['len=103 rejeitado pai_class=hidemessage', 'len=125 rejeitado pai_class=hidemessage', 'len=115 rejeitado pai_class=modal']",2026-05-13T00:59:42.152907
